FID,the_geom,id_healthF,nmHsp_mya,nmHsp_eng,lvlHsp_mya,lvlHsp_eng,bedClass,SR_PCODE,SR_mya,SR,DT_PCODE,DT,TS_PCODE,TS_mya,TS_en,SELF_ADMIN,comment,accuraConf
health_facilities_myanmar2020_v20241016.1,POINT (97.39555800000005 25.394893000000025),hsp_0001,မြစ်ကြီးနားပြည်သူ့ဆေးရုံကြီး,Myitkyina General Hospital,မြို့နယ်,General,500,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001001,မြစ်ကြီးနား,Myitkyina,,,high confidence
health_facilities_myanmar2020_v20241016.2,POINT (97.03517200000005 24.77968000000004),hsp_0002,ဆင်ဘိုတိုက်နယ်ဆေးရုံ,Sinbo Station Hospital,တိုက်နယ်,Station,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001001,မြစ်ကြီးနား,Myitkyina,,,high confidence
health_facilities_myanmar2020_v20241016.3,POINT (97.31274300000007 25.078599000000054),hsp_0003,တာလောကြီးတိုက်နယ်ဆေးရုံ,Ta Law Gyi Station Hospital,တိုက်နယ်,Station,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001001,မြစ်ကြီးနား,Myitkyina,,,high confidence
health_facilities_myanmar2020_v20241016.4,POINT (97.50663600000007 25.631998000000067),hsp_0004,အောင်မြင်သာစံပြတိုက်နယ်ဆေးရုံ,Aung Myin Thar San Station Hospital,တိုက်နယ်,Station,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001001,မြစ်ကြီးနား,Myitkyina,,,high confidence
health_facilities_myanmar2020_v20241016.5,POINT (97.43428200000005 25.347575000000063),hsp_0005,ဝိုင်းမော်မြို့နယ်ဆေးရုံ,Waingmaw Township Hospital,မြို့နယ်,Township,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001002,ဝိုင်းမော်,Waingmaw,,,high confidence
health_facilities_myanmar2020_v20241016.6,POINT (97.56172700000008 24.979503000000022),hsp_0006,ကန်တော်ယန်တိုက်နယ်ဆေးရုံ,Kan Taw Yang Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001002,ဝိုင်းမော်,Waingmaw,,,probably accurate
health_facilities_myanmar2020_v20241016.7,POINT (97.74412000000007 25.500470000000064),hsp_0007,မန်ဝိန်းတိုက်နယ်ဆေးရုံ,Man-Ming Station Hospital,တိုက်နယ်,Station,NA,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001002,ဝိုင်းမော်,Waingmaw,,,bestGuess
health_facilities_myanmar2020_v20241016.8,POINT (97.90411600000004 25.397357000000056),hsp_0008,ဆဒုံးတိုက်နယ်ဆေးရုံ,Sa Tone Station Hospital,တိုက်နယ်,Station,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001002,ဝိုင်းမော်,Waingmaw,,,high confidence
health_facilities_myanmar2020_v20241016.9,POINT (98.11673300000007 25.40972800000003),hsp_0009,ကန်ပိုက်တီတိုက်နယ်ဆေးရုံ,Kan pail Ti Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001002,ဝိုင်းမော်,Waingmaw,,,high confidence
health_facilities_myanmar2020_v20241016.10,POINT (97.72691600000007 25.830624000000057),hsp_0010,အန်ဂျန်းယန်မြို့နယ်ဆေးရုံ,Injangyang Township Hospital,မြို့နယ်,Township,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001003,အင်ဂျန်းယန်,Injangyang,,,high confidence
health_facilities_myanmar2020_v20241016.11,POINT (96.71960600000006 26.361366000000032),hsp_0011,တနိုင်းမြို့နယ်ဆေးရုံ,Tanai Township Hospital,မြို့နယ်,Township,50,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001004,တနိုင်း,Tanai,,,high confidence
health_facilities_myanmar2020_v20241016.12,POINT (96.20411400000006 26.70047500000004),hsp_0012,ရှင်ဗွေယန်တိုက်နယ်ဆေးရုံ,Shin Bway Yan Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001004,တနိုင်း,Tanai,,,high confidence
health_facilities_myanmar2020_v20241016.13,POINT (98.12775200000004 25.88708500000007),hsp_0013,ချီဖွေမြို့နယ်ဆေးရုံ,Chipwi Township Hospital,မြို့နယ်,Township,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001005,ချီဖွေ,Chipwi,,,high confidence
health_facilities_myanmar2020_v20241016.14,POINT (98.46030300000007 26.03613400000006),hsp_0014,နုဇုန်ဘောင်တိုက်နယ်ဆေးရုံ,Na Zun Baw Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001005,ချီဖွေ,Chipwi,,,probably accurate
health_facilities_myanmar2020_v20241016.15,POINT (98.37999000000008 25.604551000000072),hsp_0015,ပန်ဝါတိုက်နယ်ဆေးရုံ,Pang War Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001005,ချီဖွေ,Chipwi,,,high confidence
health_facilities_myanmar2020_v20241016.16,POINT (98.26949300000007 26.15120900000005),hsp_0016,ဆော့လော်မြို့နယ်ဆေးရုံ,Tsawlaw Township Hospital,မြို့နယ်,Township,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D001,Myitkyina,MMR001006,ဆော့လော်,Tsawlaw,,,high confidence
health_facilities_myanmar2020_v20241016.17,POINT (96.36543500000005 24.774662000000035),hsp_0017,မိုးညှင်းပြည်သူ့ဆေးရုံ,Mohnyin General Hospital,မြို့နယ်,General,100,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001007,မိုးညှင်း,Mohnyin,,,high confidence
health_facilities_myanmar2020_v20241016.18,POINT (96.46146000000005 25.291353000000072),hsp_0018,ချောင်းဝတိုက်နယ်ဆေးရုံ,Chaung Wa Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001007,မိုးညှင်း,Mohnyin,,,high confidence
health_facilities_myanmar2020_v20241016.19,POINT (96.52074200000004 24.994642000000056),hsp_0019,ဟိုပင်ဆေးရုံ,Hopin Station Hospital,တိုက်နယ်,Station,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001007,မိုးညှင်း,Mohnyin,,,high confidence
health_facilities_myanmar2020_v20241016.20,POINT (96.28580200000005 25.09799300000003),hsp_0020,လုံးတုံတိုက်နယ်ဆေးရုံ,Lone Ton Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001007,မိုးညှင်း,Mohnyin,,,high confidence
health_facilities_myanmar2020_v20241016.21,POINT (96.43782600000009 24.87834300000003),hsp_0021,နမ္မားတိုက်နယ်ဆေးရုံ,Nan Mar Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001007,မိုးညှင်း,Mohnyin,,,high confidence
health_facilities_myanmar2020_v20241016.22,POINT (96.36627000000004 24.995895000000075),hsp_0022,နန့်မွန်းတိုက်နယ်ဆေးရုံ,Nam Mun Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001007,မိုးညှင်း,Mohnyin,,,high confidence
health_facilities_myanmar2020_v20241016.23,POINT (96.30595700000003 25.180521000000056),hsp_0023,လွဲမွန်တိုက်နယ်ဆေးရုံ,Lwe Mun Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001007,မိုးညှင်း,Mohnyin,,,high confidence
health_facilities_myanmar2020_v20241016.24,POINT (96.93226000000004 25.301830000000052),hsp_0024,မိုးကောင်းမြို့နယ်ဆေးရုံ,Mogaung Township Hospital,မြို့နယ်,Township,50,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001008,မိုးကောင်း,Mogaung,,,probably accurate
health_facilities_myanmar2020_v20241016.25,POINT (97.00998400000003 25.36606800000004),hsp_0025,နမ္မတီးတိုက်နယ်ဆေးရုံ,Nanmati Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001008,မိုးကောင်း,Mogaung,,,high confidence
health_facilities_myanmar2020_v20241016.26,POINT (96.63553400000006 25.092688000000066),hsp_0026,ပင်းဘောတိုက်နယ်ဆေးရုံ,Pinbaw Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001008,မိုးကောင်း,Mogaung,,,high confidence
health_facilities_myanmar2020_v20241016.27,POINT (96.78706700000004 25.224530000000073),hsp_0027,ဆားမှော်တိုက်နယ်ဆေးရုံ,Sahmaw Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001008,မိုးကောင်း,Mogaung,,,high confidence
health_facilities_myanmar2020_v20241016.28,POINT (96.32900300000006 25.61364400000008),hsp_0028,ဖားကန့်မြို့နယ်ဆေးရုံ,Hpakant Township Hospital,မြို့နယ်,Township,50,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001009,ဖားကန့်,Hpakant,,,high confidence
health_facilities_myanmar2020_v20241016.29,POINT (96.71309700000006 25.523685000000057),hsp_0029,ကာမိုင်းတိုက်နယ်ဆေးရုံ,Kamaing Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001009,ဖားကန့်,Hpakant,,,high confidence
health_facilities_myanmar2020_v20241016.30,POINT (96.35243400000007 25.653347000000053),hsp_0030,လုံးခင်းတိုက်နယ်ဆေးရုံ,Lonkin Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001009,ဖားကန့်,Hpakant,,,high confidence
health_facilities_myanmar2020_v20241016.31,POINT (96.13157400000006 25.518800000000056),hsp_0031,တာမခံဆေးရုံ,Tar Ma Khan Station Hospital,တိုက်နယ်,Station,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001009,ဖားကန့်,Hpakant,,,high confidence
health_facilities_myanmar2020_v20241016.32,POINT (96.66671000000008 25.85704000000004),hsp_0032,ဘန်ကောက်တိုက်နယ်ဆေးရုံ,Bang Kauk Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001009,ဖားကန့်,Hpakant,,,probably inaccurate
health_facilities_myanmar2020_v20241016.33,POINT (96.25182500000005 25.486035000000072),hsp_0033,ဝှေခါတိုက်နယ်ဆေးရုံ,Hway Hkar Station Hospital,တိုက်နယ်,Station,NA,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D002,Mohnyin,MMR001009,ဖားကန်,Hpakant,,,probably accurate
health_facilities_myanmar2020_v20241016.34,POINT (97.23044000000004 24.263630000000035),hsp_0034,ဗန်းမော်ပြည်သူ့ဆေးရုံကြီး,Bhamo General Hospital,မြို့နယ်,General,200,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D003,Bhamo,MMR001010,ဗန်းမော်,Bhamo,,,high confidence
health_facilities_myanmar2020_v20241016.35,POINT (97.17243800000006 24.295300000000054),hsp_0035,မံမလင်းတိုက်နယ်ဆေးရုံ,Man Ma Lin Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D003,Bhamo,MMR001010,ဗန်းမော်,Bhamo,,,high confidence
health_facilities_myanmar2020_v20241016.36,POINT (96.79104100000006 24.226031000000035),hsp_0036,ရွှေကူမြို့နယ်ဆေးရုံ,Shwegu Township Hospital,မြို့နယ်,Township,50,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D003,Bhamo,MMR001011,ရွှေကူ,Shwegu,,,high confidence
health_facilities_myanmar2020_v20241016.37,POINT (96.63889500000005 24.339874000000066),hsp_0037,ဘိုကုန်းတိုက်နယ်ဆေးရုံ,Bo Kone Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D003,Bhamo,MMR001011,ရွှေကူ,Shwegu,,,high confidence
health_facilities_myanmar2020_v20241016.38,POINT (96.63130700000005 24.47965400000004),hsp_0038,မြို့လှတိုက်နယ်ဆေးရုံ,Myo Hla Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D003,Bhamo,MMR001011,ရွှေကူ,Shwegu,,,high confidence
health_facilities_myanmar2020_v20241016.39,POINT (96.91408400000006 24.27407000000005),hsp_0039,မြို့ကုန်းတိုက်နယ်ဆေးရုံ,Myo Kone Township Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D003,Bhamo,MMR001011,ရွှေကူ,Shwegu,,,high confidence
health_facilities_myanmar2020_v20241016.40,POINT (96.74560000000008 24.12876700000004),hsp_0040,စီသာတိုက်နယ်ဆေးရုံ,Sithar Kone Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D003,Bhamo,MMR001011,ရွှေကူ,Shwegu,,,high confidence
health_facilities_myanmar2020_v20241016.41,POINT (97.34877600000004 24.256340000000023),hsp_0041,မိုးမောက်မြို့နယ်ဆေးရုံ,Momauk Township Hospital,မြို့နယ်,Township,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D003,Bhamo,MMR001012,မိုးမောက်,Momauk,,,high confidence
health_facilities_myanmar2020_v20241016.42,POINT (97.40686300000004 24.411055000000033),hsp_0042,မြို့သစ်တိုက်နယ်ဆေးရုံ,Myo Thit Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D003,Bhamo,MMR001012,မိုးမောက်,Momauk,,,high confidence
health_facilities_myanmar2020_v20241016.43,POINT (97.50054800000004 24.244226000000026),hsp_0043,စိန်လုံတိုက်နယ်ဆေးရုံ,Sein Long Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D003,Bhamo,MMR001012,မိုးမောက်,Momauk,,,high confidence
health_facilities_myanmar2020_v20241016.44,POINT (97.72590000000008 24.205348000000072),hsp_0044,လွယ်ဂျယ်ဆေးရုံ,Lwelgel Station Hospital,တိုက်နယ်,Station,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D003,Bhamo,MMR001012,မိုးမောက်,Momauk,,,high confidence
health_facilities_myanmar2020_v20241016.45,POINT (97.46343600000006 24.615537000000074),hsp_0045,ဒေါ့ဖုန်းယန်တိုက်နယ်ဆေးရုံ,Daw Phone Yan Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D003,Bhamo,MMR001012,မိုးမောက်,Momauk,,,high confidence
health_facilities_myanmar2020_v20241016.46,POINT (97.29474200000004 24.123342000000036),hsp_0046,မံစီမြို့နယ်ဆေးရုံ,Mansi Township Hospital,မြို့နယ်,Township,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D003,Bhamo,MMR001013,မံစီ,Mansi,,,high confidence
health_facilities_myanmar2020_v20241016.47,POINT (97.39845900000006 27.34923900000007),hsp_0047,ပူတာအိုပြည်သူ့ဆေးရုံ,Puta-O General Hospital,မြို့နယ်,General,100,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D004,Puta-O,MMR001014,ပူတာအို,Puta-O,,,high confidence
health_facilities_myanmar2020_v20241016.48,POINT (97.42389300000008 27.25600600000007),hsp_0048,မူလာရှီဒီတိုက်နယ်ဆေးရုံ,Mulah Shewde Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D004,Puta-O,MMR001014,ပူတာအို,Puta-O,,,high confidence
health_facilities_myanmar2020_v20241016.49,POINT (97.54739200000006 27.179711000000054),hsp_0049,လုံရှာယန်တိုက်နယ်ဆေးရုံ,Lung Sha Yang Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D004,Puta-O,MMR001014,ပူတာအို,Puta-O,,,high confidence
health_facilities_myanmar2020_v20241016.50,POINT (97.35131200000006 27.40926500000006),hsp_0050,မန်စေတိုက်နယ်ဆေးရုံ,Man Say Station Hospital,တိုက်နယ်,Station,NA,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D004,Puta-O,MMR001014,ပူတာအို,Puta-O,,,bestGuess
health_facilities_myanmar2020_v20241016.51,POINT (97.56799500000005 26.546831000000054),hsp_0051,ဆွမ်ပရာဘွမ်မြို့နယ်ဆေးရုံ,Sumprabum Township Hospital,မြို့နယ်,Township,50,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D004,Puta-O,MMR001015,ဆွမ်ပရာဘွမ်,Sumprabum,,,high confidence
health_facilities_myanmar2020_v20241016.52,POINT (97.58526400000005 27.282894000000056),hsp_0052,မချမ်းဘောမြို့နယ်ဆေးရုံ,Machanbaw Township Hospital,မြို့နယ်,Township,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D004,Puta-O,MMR001016,မချမ်းဘော,Machanbaw,,,probably accurate
health_facilities_myanmar2020_v20241016.53,POINT (97.54417300964955 27.380700152687847),hsp_0053,ထရန်ဒမ်းတိုက်နယ်ဆေးရုံ,Taramdam Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D004,Puta-O,MMR001016,မချမ်းဘော,Machanbaw,,,high confidence
health_facilities_myanmar2020_v20241016.54,POINT (97.81273900000008 27.50570700000003),hsp_0054,နောင်မွန်းမြို့နယ်ဆေးရုံ,Nawngmun Township Hospital,မြို့နယ်,Township,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D004,Puta-O,MMR001017,နောင်မွန်,Nawngmun,,,high confidence
health_facilities_myanmar2020_v20241016.55,POINT (97.87916800000005 27.728148000000033),hsp_0055,ပန်နန်းဒင်တိုက်နယ်ဆေးရုံ,Pannandin Station Hospital,တိုက်နယ်,Station,16,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D004,Puta-O,MMR001017,နောင်မွန်,Nawngmun,,,high confidence
health_facilities_myanmar2020_v20241016.56,POINT (98.36006100000009 27.06042000000008),hsp_0056,ခေါင်လန်ဖူးမြို့နယ်ဆေးရုံ,Khaunglanhpu Township Hospital,မြို့နယ်,Township,25,MMR001,ကချင်ပြည်နယ်,Kachin,MMR001D004,Puta-O,MMR001018,ခေါင်လန်ဖူး,Khaunglanhpu,,,bestGuess
health_facilities_myanmar2020_v20241016.57,POINT (97.21996600000006 19.68010400000003),hsp_0057,လွိုင်ကော်ပြည်သူ့ဆေးရုံကြီး,Loikaw General Hospital,မြို့နယ်,General,500,MMR002,ကယားပြည်နယ်,Kayah,MMR002D001,Loikaw,MMR002001,လွိုင်ကော်,Loikaw,,,high confidence
health_facilities_myanmar2020_v20241016.58,POINT (97.22840900000006 19.876659000000075),hsp_0058,လွိုင်လင်လေးတိုက်နယ်ဆေးရုံ,Loinlin Station Hospital,တိုက်နယ်,Station,16,MMR002,ကယားပြည်နယ်,Kayah,MMR002D001,Loikaw,MMR002001,လွိုင်ကော်,Loikaw,,,high confidence
health_facilities_myanmar2020_v20241016.59,POINT (97.33338600000008 19.548280000000034),hsp_0059,လောဓလေးတိုက်နယ်ဆေးရုံ,Law Da Lae Station Hospital,တိုက်နယ်,Station,16,MMR002,ကယားပြည်နယ်,Kayah,MMR002D001,Loikaw,MMR002001,လွိုင်ကော်,Loikaw,,,high confidence
health_facilities_myanmar2020_v20241016.60,POINT (97.16078300000004 19.546177000000057),hsp_0060,ဒီမောဆိုးမြို့နယ်ဆေးရုံ,Demoso Township Hospital,မြို့နယ်,Township,25,MMR002,ကယားပြည်နယ်,Kayah,MMR002D001,Loikaw,MMR002002,ဒီးမော့ဆို,Demoso,,,high confidence
health_facilities_myanmar2020_v20241016.61,POINT (97.35735700000004 19.317490000000078),hsp_0061,ဒေါတမကြီးတိုက်နယ်ဆေးရုံ,Daw Tamagyi Station Hospital,တိုက်နယ်,Station,16,MMR002,ကယားပြည်နယ်,Kayah,MMR002D001,Loikaw,MMR002002,ဒီးမော့ဆို,Demoso,,,high confidence
health_facilities_myanmar2020_v20241016.62,POINT (97.11087479240012 19.668951255057102),hsp_0062,နန့်မယ်ခုံတိုက်နယ်ဆေးရုံ,Namekhon Station Hospital,တိုက်နယ်,Station,NA,MMR002,ကယားပြည်နယ်,Kayah,MMR002D001,Loikaw,MMR002002,ဒီးမော့ဆို,Demoso,,,probably accurate
health_facilities_myanmar2020_v20241016.63,POINT (96.94413300000008 19.536234000000036),hsp_0063,လိုဘားခိုတိုက်နယ်ဆေးရုံ,Lo Bar Kho Station Hospital,တိုက်နယ်,Station,16,MMR002,ကယားပြည်နယ်,Kayah,MMR002D001,Loikaw,MMR002002,ဒီးမော့ဆို,Demoso,,,high confidence
health_facilities_myanmar2020_v20241016.64,POINT (97.11619900000005 19.40744600000005),hsp_0064,ဖရူဆိုမြို့နယ်ဆေးရုံ,Hpruso Township Hospital,မြို့နယ်,Township,25,MMR002,ကယားပြည်နယ်,Kayah,MMR002D001,Loikaw,MMR002003,ဖရူဆို,Hpruso,,,high confidence
health_facilities_myanmar2020_v20241016.65,POINT (96.94329200000004 19.33472500000005),hsp_0065,ဟိုယာတိုက်နယ်ဆေးရုံ,Ho Yar Station Hospital,တိုက်နယ်,Station,16,MMR002,ကယားပြည်နယ်,Kayah,MMR002D001,Loikaw,MMR002003,ဖရူဆို,Hpruso,,,high confidence
health_facilities_myanmar2020_v20241016.66,POINT (97.52185400000008 19.63169300000004),hsp_0066,ရှားတောမြို့နယ်ဆေးရုံ,Shadaw Township Hospital,မြို့နယ်,Township,25,MMR002,ကယားပြည်နယ်,Kayah,MMR002D001,Loikaw,MMR002004,ရှားတော,Shadaw,,,high confidence
health_facilities_myanmar2020_v20241016.67,POINT (97.50931800000006 19.762882000000047),hsp_0067,သရီးဒါးတိုက်နယ်ဆေးရုံ,Thiree Dar Station Hospital,တိုက်နယ်,Station,16,MMR002,ကယားပြည်နယ်,Kayah,MMR002D001,Loikaw,MMR002004,ရှားတော,Shadaw,,,high confidence
health_facilities_myanmar2020_v20241016.68,POINT (97.34234000000004 19.169120000000078),hsp_0068,ဘောလခဲပြည်သူ့ဆေးရုံ,Bawlake General Hospital,မြို့နယ်,General,50,MMR002,ကယားပြည်နယ်,Kayah,MMR002D002,Bawlake,MMR002005,ဘောလခဲ,Bawlake,,,high confidence
health_facilities_myanmar2020_v20241016.69,POINT (97.50035500000007 19.166175000000067),hsp_0069,ရွာသစ်တိုက်နယ်ဆေးရုံ,Ywarthit Station Hospital,တိုက်နယ်,Station,NA,MMR002,ကယားပြည်နယ်,Kayah,MMR002D002,Bawlake,MMR002005,ဘောလခဲ,Bawlake,,,high confidence
health_facilities_myanmar2020_v20241016.70,POINT (97.32020000000006 18.878025000000036),hsp_0070,ဖားဆောင်းမြို့နယ်ဆေးရုံ,Hpasawng Township Hospital,မြို့နယ်,Township,41,MMR002,ကယားပြည်နယ်,Kayah,MMR002D002,Bawlake,MMR002006,ဖားဆောင်း,Hpasawng,,,high confidence
health_facilities_myanmar2020_v20241016.71,POINT (97.14938000000006 18.82173800000004),hsp_0071,မော်ချီးအောက်ရွာတိုက်နယ်ဆေးရုံ,Mawchi Station Hospital,တိုက်နယ်,Station,NA,MMR002,ကယားပြည်နယ်,Kayah,MMR002D002,Bawlake,MMR002006,ဖားဆောင်း,Hpasawng,,,high confidence
health_facilities_myanmar2020_v20241016.72,POINT (97.65408400000007 18.644544000000053),hsp_0072,မယ်စဲ့မြို့နယ်ဆေးရုံ,Mese Township Hospital,မြို့နယ်,Township,25,MMR002,ကယားပြည်နယ်,Kayah,MMR002D002,Bawlake,MMR002007,မယ်စဲ့,Mese,,,high confidence
health_facilities_myanmar2020_v20241016.73,POINT (97.55805200000003 18.653681000000063),hsp_0073,ပန်တိန်းတိုက်နယ်ဆေးရုံ,Pantein Station Hospital,တိုက်နယ်,Station,16,MMR002,ကယားပြည်နယ်,Kayah,MMR002D002,Bawlake,MMR002007,မယ်စဲ့,Mese,,,high confidence
health_facilities_myanmar2020_v20241016.74,POINT (97.63590400000004 16.882569000000046),hsp_0074,ဘားအံပြည်သူ့ဆေးရုံကြီး,Hpa-An General Hospital,မြို့နယ်,General,200,MMR003,ကရင်ပြည်နယ်,Kayin,MMR003D001,Hpa-An,MMR003001,ဘားအံ,Hpa-An,,,high confidence
health_facilities_myanmar2020_v20241016.75,POINT (97.57722600000005 16.909507000000076),hsp_0075,မြိုင်ကလေးဆေးရုံ,Myaing Ka Lay Station Hospital,တိုက်နယ်,Station,25,MMR003,ကရင်ပြည်နယ်,Kayin,MMR003D001,Hpa-An,MMR003001,ဘားအံ,Hpa-An,,,high confidence
health_facilities_myanmar2020_v20241016.76,POINT (97.75293500000004 16.76336500000002),hsp_0076,အိန္ဒုတိုက်နယ်ဆေးရုံ,Ein Du Station Hospital,တိုက်နယ်,Station,16,MMR003,ကရင်ပြည်နယ်,Kayin,MMR003D001,Hpa-An,MMR003001,ဘားအံ,Hpa-An,,,high confidence
health_facilities_myanmar2020_v20241016.77,POINT (97.74162300000006 16.56627400000002),hsp_0077,ဇာသပြင်တိုက်နယ်ဆေးရုံ,Zar Tha Pyin Station Hospital,တိုက်နယ်,Station,16,MMR003,ကရင်ပြည်နယ်,Kayin,MMR003D001,Hpa-An,MMR003001,ဘားအံ,Hpa-An,,,high confidence
health_facilities_myanmar2020_v20241016.78,POINT (97.59750700000006 16.717085000000054),hsp_0078,ထုံးအိုင်တိုက်နယ်ဆေးရုံ,Hton Aing Station Hospital,တိုက်နယ်,Station,16,MMR003,ကရင်ပြည်နယ်,Kayin,MMR003D001,Hpa-An,MMR003001,ဘားအံ,Hpa-An,,,high confidence
health_facilities_myanmar2020_v20241016.79,POINT (97.61570000000006 16.829961000000026),hsp_0079,တရုတ်လှတိုက်နယ်ဆေးရုံ,Tayoke Hla Station Hospital,တိုက်နယ်,Station,16,MMR003,ကရင်ပြည်နယ်,Kayin,MMR003D001,Hpa-An,MMR003001,ဘားအံ,Hpa-An,,,high confidence
health_facilities_myanmar2020_v20241016.80,POINT (97.55256200000008 17.23506800000007),hsp_0080,ဖလံတောင်တိုက်နယ်ဆေးရုံ,Phalan Taung Station Hospital,တိုက်နယ်,Station,NA,MMR003,ကရင်ပြည်နယ်,Kayin,MMR003D001,Hpa-An,MMR003001,ဘားအံ,Hpa-An,,,high confidence
health_facilities_myanmar2020_v20241016.81,POINT (97.81800500000008 17.119748000000072),hsp_0081,လှိုင်းဘွဲ့မြို့နယ်ဆေးရုံ,Hlaingbwe Township Hospital,မြို့နယ်,Township,50,MMR003,ကရင်ပြည်နယ်,Kayin,MMR003D001,Hpa-An,MMR003002,လှိုင်းဘွဲ့,Hlaingbwe,,,high confidence
