FID,the_geom,id_healthF,nmHsp_mya,nmHsp_eng,lvlHsp_mya,lvlHsp_eng,bedClass,SR_PCODE,SR_mya,SR,DT_PCODE,DT,TS_PCODE,TS_mya,TS_en,SELF_ADMIN,comment,accuraConf
health_facilities_myanmar2020_v20241016.370,POINT (96.68441700000005 18.248262000000068),hsp_0371,နတ်သံကွင်းတိုက်နယ်ဆေးရုံ,Nat Than Kwin Station Hospital,တိုက်နယ်,Station,16,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007011,ကျောက်ကြီး,Kyaukkyi,,,high confidence
health_facilities_myanmar2020_v20241016.371,POINT (96.68437700000004 18.44716900000003),hsp_0372,ကျွန်းပင်ဆိပ်တိုက်နယ်ဆေးရုံ,Kyun Pin Seik Station Hospital,တိုက်နယ်,Station,16,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007011,ကျောက်ကြီး,Kyaukkyi,,,high confidence
health_facilities_myanmar2020_v20241016.372,POINT (96.68100100000004 18.358118000000047),hsp_0373,ငထွေစုတ်တိုက်နယ်ဆေးရုံ,Nga / Htway Soke Station Hospital,တိုက်နယ်,Station,16,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007011,ကျောက်ကြီး,Kyaukkyi,,,high confidence
health_facilities_myanmar2020_v20241016.373,POINT (96.43166800000006 18.48011800000006),hsp_0374,ဖြူးမြို့နယ်ဆေးရုံ,Phyu Township Hospital,မြို့နယ်,Township,100,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007012,ဖြူး,Phyu,,,high confidence
health_facilities_myanmar2020_v20241016.374,POINT (96.49307200000004 18.34637200000003),hsp_0375,ကညွှတ်ကွင်းဆေးရုံ,Ka Nyut Kwin Station Hospital,တိုက်နယ်,Station,25,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007012,ဖြူး,Phyu,,,high confidence
health_facilities_myanmar2020_v20241016.375,POINT (96.42799200000007 18.553270000000055),hsp_0376,ဇေယျဝတီတိုက်နယ်ဆေးရုံ,Zeyarwaddy Station Hospital,တိုက်နယ်,Station,16,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007012,ဖြူး,Phyu,,,high confidence
health_facilities_myanmar2020_v20241016.376,POINT (96.45885700000008 18.407188000000076),hsp_0377,ညောင်ပင်သာတိုက်နယ်ဆေးရုံ,Nyaung Pin Thar Station Hospital,တိုက်နယ်,Station,16,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007012,ဖြူး,Phyu,,,high confidence
health_facilities_myanmar2020_v20241016.377,POINT (96.53766600000006 18.544936000000064),hsp_0378,ဝဲကြီးတိုက်နယ်ဆေးရုံ,Wae Gyi Station Hospital,တိုက်နယ်,Station,16,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007012,ဖြူး,Phyu,,,high confidence
health_facilities_myanmar2020_v20241016.378,POINT (96.53785400000004 18.464666000000022),hsp_0379,ကျော်လှတိုက်နယ်ဆေးရုံ,Kyaw Hla Station Hospital,တိုက်နယ်,Station,16,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007012,ဖြူး,Phyu,,,high confidence
health_facilities_myanmar2020_v20241016.379,POINT (96.40891100000005 18.82139200000006),hsp_0380,အုတ်တွင်းမြို့နယ်ဆေးရုံ,Oktwin Township Hospital,မြို့နယ်,Township,25,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007013,အုတ်တွင်း,Oktwin,,,high confidence
health_facilities_myanmar2020_v20241016.380,POINT (96.41716800000006 18.617541000000074),hsp_0381,ညောင်ခြေထောက်တိုက်နယ်ဆေးရုံ,Nyaung Chay Htauk Station Hospital,တိုက်နယ်,Station,16,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007013,အုတ်တွင်း,Oktwin,,,high confidence
health_facilities_myanmar2020_v20241016.381,POINT (96.40711300000004 18.714488000000074),hsp_0382,ကျွဲပွဲတိုက်နယ်ဆေးရုံ,Kywe Pwe Station Hospital,တိုက်နယ်,Station,16,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007013,အုတ်တွင်း,Oktwin,,,high confidence
health_facilities_myanmar2020_v20241016.382,POINT (96.48598900000007 18.841597000000036),hsp_0383,ထန်းတပင်မြို့နယ်ဆေးရုံ,Htantabin Township Hospital,မြို့နယ်,Township,50,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007014,ထန်းတပင်,Htantabin,,,high confidence
health_facilities_myanmar2020_v20241016.383,POINT (96.53041100000007 18.724928000000034),hsp_0384,ဇရပ်ကြီးတိုက်နယ်ဆေးရုံ,Za Yat Gyi Station Hospital,တိုက်နယ်,Station,16,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007014,ထန်းတပင်,Htantabin,,,high confidence
health_facilities_myanmar2020_v20241016.384,POINT (96.59847100000007 18.660515000000032),hsp_0385,လှည်းလမ်းကူးတိုက်နယ်ဆေးရုံ,Hle Lan Ku Station Hospital,တိုက်နယ်,Station,16,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007014,ထန်းတပင်,Htantabin,,,high confidence
health_facilities_myanmar2020_v20241016.385,POINT (96.45131600000008 18.68645200000003),hsp_0386,မြို့စိုးတိုက်နယ်ဆေးရုံ,Myo Soe Station Hospital,တိုက်နယ်,Station,16,MMR007,ပဲခူးတိုင်းဒေသကြီး,Bago (East),MMR007D002,Taungoo,MMR007014,ထန်းတပင်,Htantabin,,,high confidence
health_facilities_myanmar2020_v20241016.386,POINT (95.24657300000007 18.822797000000037),hsp_0387,ပြည်မြို့ပြည်သူ့ဆေးရုံကြီး,Pyay General Hospital,မြို့နယ်,General,500,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008001,ပြည်,Pyay,,,high confidence
health_facilities_myanmar2020_v20241016.387,POINT (95.37788600000005 18.846666000000027),hsp_0388,ပေါင်းတလည်တိုက်နယ်ဆေးရုံ,Paung Talel Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008001,ပြည်,Pyay,,,high confidence
health_facilities_myanmar2020_v20241016.388,POINT (95.35673500000007 18.96582600000005),hsp_0389,ဝက်ထီးကန်တိုက်နယ်ဆေးရုံ,Wet Htee Kan Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008001,ပြည်,Pyay,,,high confidence
health_facilities_myanmar2020_v20241016.1114,POINT (96.07607100000007 19.761461000000054),hsp_1127,မြို့နယ်ဆေးရုံ,Za Bu Thi Ri Township Hospital,မြို့နယ်,Township,50,MMR018,နေပြည်တော်,Nay Pyi Taw,MMR018D002,Det Khi Na,MMR018002,ဇမ္ဗူသီရိ,Za Bu Thi Ri,,,high confidence
health_facilities_myanmar2020_v20241016.389,POINT (95.55471400000005 18.910180000000025),hsp_0390,ပေါက်ခေါင်းမြို့နယ်ဆေးရုံ,Paukkhaung Township Hospital,မြို့နယ်,Township,25,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008002,ပေါက်ခေါင်း,Paukkhaung,,,high confidence
health_facilities_myanmar2020_v20241016.390,POINT (95.67103200000008 18.894250000000056),hsp_0391,တောင်လည်တိုက်နယ်ဆေးရုံ,Taung Lel Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008002,ပေါက်ခေါင်း,Paukkhaung,,,high confidence
health_facilities_myanmar2020_v20241016.391,POINT (95.65374700000007 19.15658300000007),hsp_0392,ကံကျင်းတိုက်နယ်ဆေးရုံ,Kan Kyin Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008002,ပေါက်ခေါင်း,Paukkhaung,,,high confidence
health_facilities_myanmar2020_v20241016.392,POINT (95.50830900000005 18.98685000000006),hsp_0393,ဓမ္မသော်တိုက်နယ်ဆေးရုံ,Dhamma Thaw Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008002,ပေါက်ခေါင်း,Paukkhaung,,,high confidence
